metric,metric_clean,category,split,Model,N,Mean,Std,Median,Rank,Omnibus_Test,Omnibus_Stat,Omnibus_p
Scènes à Faire_score,Scènes à Faire,Exceptions,Forget,NPO (Dutch),20,0.595,0.20384462607326048,0.5,2.0,Kruskal,2.5395905688045266,0.4681786503364457
Scènes à Faire_score,Scènes à Faire,Exceptions,Forget,NPO (English),20,0.675,0.20994986870303362,0.8,1.0,Kruskal,2.5395905688045266,0.4681786503364457
Scènes à Faire_score,Scènes à Faire,Exceptions,Retain,Finetuned (Dutch),20,0.64,0.3439706229806322,0.8,2.0,Kruskal,0.5514175654853696,0.9074583873595641
Scènes à Faire_score,Scènes à Faire,Exceptions,Retain,Finetuned (English),20,0.67,0.2848822471422923,0.8,1.0,Kruskal,0.5514175654853696,0.9074583873595641
Scènes à Faire_score,Scènes à Faire,Exceptions,Retain,NPO (Dutch),20,0.625,0.3024026594146497,0.8,3.0,Kruskal,0.5514175654853696,0.9074583873595641
Scènes à Faire_score,Scènes à Faire,Exceptions,Retain,NPO (English),20,0.62,0.27453309646130386,0.8,4.0,Kruskal,0.5514175654853696,0.9074583873595641
WorldBuilding Similarity_score,WorldBuilding Similarity,Content,Forget,Finetuned (Dutch),20,0.93,0.18945906376340316,1.0,2.0,Kruskal,57.53193949584321,1.9785806508697624e-12
WorldBuilding Similarity_score,WorldBuilding Similarity,Content,Forget,Finetuned (English),20,1.0,0.0,1.0,1.0,Kruskal,57.53193949584321,1.9785806508697624e-12
WorldBuilding Similarity_score,WorldBuilding Similarity,Content,Forget,NPO (Dutch),20,0.505,0.22118104039808423,0.5,3.0,Kruskal,57.53193949584321,1.9785806508697624e-12
WorldBuilding Similarity_score,WorldBuilding Similarity,Content,Forget,NPO (English),20,0.36500000000000005,0.33446736918962905,0.5,4.0,Kruskal,57.53193949584321,1.9785806508697624e-12
WorldBuilding Similarity_score,WorldBuilding Similarity,Content,Retain,Finetuned (Dutch),20,0.99,0.044721359549995815,1.0,1.0,Kruskal,12.953021622620577,0.004739308149762251
WorldBuilding Similarity_score,WorldBuilding Similarity,Content,Retain,Finetuned (English),20,0.975,0.11180339887498947,1.0,2.0,Kruskal,12.953021622620577,0.004739308149762251
WorldBuilding Similarity_score,WorldBuilding Similarity,Content,Retain,NPO (Dutch),20,0.885,0.2455391489848625,1.0,4.0,Kruskal,12.953021622620577,0.004739308149762251
WorldBuilding Similarity_score,WorldBuilding Similarity,Content,Retain,NPO (English),20,0.8949999999999999,0.1356271980175999,1.0,3.0,Kruskal,12.953021622620577,0.004739308149762251
Writing Style_score,Writing Style,Stylistic,Forget,Finetuned (Dutch),20,0.93,0.15927467172350906,1.0,2.0,Kruskal,65.20152450090741,4.5420478898257964e-14
Writing Style_score,Writing Style,Stylistic,Forget,Finetuned (English),20,1.0,0.0,1.0,1.0,Kruskal,65.20152450090741,4.5420478898257964e-14
Writing Style_score,Writing Style,Stylistic,Forget,NPO (Dutch),20,0.3,0.2513123449750173,0.5,3.0,Kruskal,65.20152450090741,4.5420478898257964e-14
Writing Style_score,Writing Style,Stylistic,Forget,NPO (English),20,0.225,0.25520889276702025,0.0,4.0,Kruskal,65.20152450090741,4.5420478898257964e-14
Writing Style_score,Writing Style,Stylistic,Retain,Finetuned (Dutch),20,0.945,0.12763022245616637,1.0,2.0,Kruskal,13.60289792387547,0.003498671011538218
Writing Style_score,Writing Style,Stylistic,Retain,Finetuned (English),20,0.99,0.0447213595499958,1.0,1.0,Kruskal,13.60289792387547,0.003498671011538218
Writing Style_score,Writing Style,Stylistic,Retain,NPO (Dutch),20,0.825,0.20994986870303364,0.9,3.0,Kruskal,13.60289792387547,0.003498671011538218
Writing Style_score,Writing Style,Stylistic,Retain,NPO (English),20,0.82,0.22618111047751555,1.0,4.0,Kruskal,13.60289792387547,0.003498671011538218
